FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
L74-221	L74-221	18.3	24.9	54.9	80.7	18.7	9.6	7.1	23.5	24.4	16.7	21.7	22.9	14.2	12.7	9.3
Ludou 11	Ludou 11	17.5	23.1	47.4	64.8	18.2	8.9	5.6	19.8	19.3	14.9	17.5	19.1	11.8	10.7	8.2
Fayette	Fayette	16.4	26.7	41.8	66	16	10.3	17.4	28.4	23.7	19.3	22.4	18.6	14.9	12.9	18.5
Gnome	Gnome	19.2	26.2	53.6	73.6	19.9	10	6.8	23.1	22.3	16.9	25.1	21.3	13	12.4	9.7
Lv 75	Lv 75	18	30.6	46.7	71.6	17.5	11	18.4	30.2	26	20.5	23.3	18.9	17.2	13.1	16.9
Zhongpindaheidou	Zhongpindaheidou	19.6	26.6	54.7	77.6	20.1	10.3	6.8	23	22.4	17.2	20.1	22.1	14.3	12.6	9.6
Maoyandou	Maoyandou	20.4	31.1	58.1	83.3	20.5	10.7	7.6	26.2	23.3	18.4	23.7	24.6	15.2	12.7	10
Zhengzhou 135	Zhengzhou 135	21.5	31.7	61.4	89.1	21.5	11.2	7.4	25.5	27.7	19.2	25.1	25.8	16	13.5	10.7
Elf	Elf	20.5	28.2	58.5	83.3	20.7	10.4	6.9	24.7	23.6	18	24.4	24.8	15.1	12.7	9.5
Hobbit87	Hobbit87	16.6	25.7	41.2	61.8	16	9.8	16.7	27.6	23.6	18.3	23	17	15.5	12	15.2
Sijiaoqi	Sijiaoqi	20.6	31.6	57.4	81.3	20.8	10.8	7	24.3	23.3	17.9	22.2	24.5	15.7	13.3	9.9
Erliheidou	Erliheidou	17	28	54.3	76.5	18.9	9.4	5.2	21.5	19.1	15.4	22.7	20.8	12	9.9	8.3
IL2	IL2	17.3	24.8	51.4	77.2	19.3	9.2	5.6	22.8	19.5	14.8	19.6	21.3	12.5	10.5	7.8
Dunbar	Dunbar	15.9	22.3	47.5	71.2	17.1	8.5	5.7	21.5	18.9	14.2	17.9	19.9	12	10.1	7.5
Yanhuang 3	Yanhuang 3	18.7	29.1	58.3	88.3	19.9	10.4	6.8	26.1	21.9	17.7	21.7	24.6	14.4	12.4	9.1
Peking	Peking	17.1	26.1	42.5	64.3	16.4	9.9	17.2	28.1	24.1	18.9	22.2	17.6	16	12.2	15.4
Kunitz	Kunitz	17.8	24.2	51.5	80.8	18.8	9.5	6.1	24.3	22.6	15.5	22	22	13.4	11.5	8.4
