taxa,PC1,PC2,PC3
Zheng_02060_0_7_2,23.8961897700847,-26.5452959943,-27.8776868904608
Yudou_18,36.5099272245271,-13.7508938368932,-42.1921653535668
L88_8431,-82.7955753925237,28.4578651966847,-11.1310226260839
Chaleston,-61.5103641141271,9.41347273897335,8.04911988901981
Jidou_7,-41.2074013664901,-0.511918290169405,-2.09446257615978
Franklin,-41.2455566119673,5.23591289713063,15.064980557944
L85_2378,-83.1843095633956,29.2712628089675,-9.59888208378534
Pixie,-54.2628722360985,8.6777775505384,-7.145564693382
L82_2020,-83.9123566500311,27.275080261944,-7.00716950871981
Miyunlaoyelian,42.8097655331328,52.0925957465679,35.2992882627691
L77_1863,-85.462899465769,28.6853368798743,-7.79937816517389
Longjiangdali_Su,17.913187559784,-45.1639171583585,-4.92842123787199
Zhongpin_661,-83.8198383294122,29.1116370845211,-10.8239616322159
L87_0482,-81.414882094712,27.0745465863121,-9.69184076133092
L77_5632,-82.9303314444359,30.8555727434072,-7.57834138379552
Zhongdou_36,15.7633280724198,-32.1683180170507,-27.2708841679737
L83_4744,-79.1683964188958,25.7030709561765,-9.18913773902608
Gnome_85,-51.8664753575325,4.37988362975856,1.25609155035793
Kim,-2.7623579381404,-36.1924162320489,-13.7072309084057
Nile,-50.333400087283,13.7795624504917,5.82774302991344
L88_8739,-79.2186563616454,25.5642688329823,-7.88066452285199
Xiaoqingdou,33.6129014197313,12.8755542229218,-13.1252265477889
Zhongpin_662,35.1226385108447,-15.3701111181222,-47.2431620287927
PI_547893,-84.997788645296,29.3637353932576,-7.39620331017491
PI_547872,-84.582848069544,26.18040997412,-7.39676557648878
L73_54,-10.6520164388992,-81.0332645967202,61.5378092022723
Xinliuqing,25.7349070523665,-30.4555554694767,-49.123020842136
Siliyuan,38.3144735600738,-13.4978392670271,-40.8345977340273
Amsoy,-20.4389138900617,-54.422146345569,47.9654153149228
Heidou,71.9236458076647,60.9024333603468,43.4406322983864
Boaihongpizaojiao,33.2953640950421,-7.2815591570859,-19.8803024635574
Spry,-31.8185813831374,-4.42717761010562,0.798084495529837
PI_547838,-85.2205772913718,29.0030892484447,-7.57986912147635
PI_547850,-82.8985009335128,31.8113992752224,-7.48569188010566
Zheng_9525,47.0934786038392,-7.98688975982928,-37.6212301917991
Pingdinghuangdou,34.1967706507834,-24.4958185969532,-25.9168781887473
Banyesheng,40.015192753579,29.1606797265663,22.082360185133
PI_547888,-80.904779052551,24.3615841524669,-7.15520602340487
Jindou_21,58.002921895961,43.7340889150851,26.2781274523751
KD01,26.5733241679306,-16.3606752343545,-46.4718368578675
Baipihuangdou,47.7238014243703,36.9332854775146,25.2907082746241
PI54703,-69.4762419726426,14.0699947104387,9.99258416943978
Diliuhuangdou_2,47.6634817022187,30.2605187024946,22.095432937896
Kefeng_53,34.9097712720654,-29.6546160321967,-62.5925983127265
Delsoy_,-26.7646240392289,-6.82745105771495,9.32721356599947
Wandou_16,35.8250237817825,-30.1121199360777,-63.2131055151267
L85_2029,-84.4009856939396,28.2851157566686,-8.62448485385965
L62_880,-11.652420054371,-84.8971814818527,62.2057159036827
Xudou_10,-42.5372366433721,22.3531752681589,-25.9480334056872
Huaiyangchundou,43.1399901772588,-0.456987374735576,-7.9414171349057
Zheng_99048,44.0162534084158,-8.50487310761626,-24.655835688827
